service_id,date,exception_type
0000000052022092020230623,20230408,2
0000000052022092020230623,20230410,2
0000000052022092020230623,20230411,2
0000000052022092020230623,20230425,2
0000000052022092020230623,20230501,2
0000000052022092020230623,20230602,2
0000000052022092020230623,20230612,2
0000000052022092020230623,20230613,2
0000000052022092020230623,20230614,2
0000000052022092020230623,20230615,2
0000000052022092020230623,20230616,2
0000000052022092020230623,20230617,2
0000000052022092020230623,20230619,2
0000000052022092020230623,20230620,2
0000000052022092020230623,20230621,2
0000000052022092020230623,20230622,2
0000000052022092020230623,20230623,2
0000000052022092220230623,20221031,2
0000000052022092220230623,20221101,2
0000000052022092220230623,20221208,2
0000000052022092220230623,20221223,2
0000000052022092220230623,20221224,2
0000000052022092220230623,20221226,2
0000000052022092220230623,20221227,2
0000000052022092220230623,20221228,2
0000000052022092220230623,20221229,2
0000000052022092220230623,20221230,2
0000000052022092220230623,20221231,2
0000000052022092220230623,20230102,2
0000000052022092220230623,20230103,2
0000000052022092220230623,20230104,2
0000000052022092220230623,20230105,2
0000000052022092220230623,20230106,2
0000000052022092220230623,20230220,2
0000000052022092220230623,20230221,2
0000000052022092220230623,20230406,2
0000000052022092220230623,20230407,2
0000000052022092220230623,20230408,2
0000000052022092220230623,20230410,2
0000000052022092220230623,20230411,2
0000000052022092220230623,20230425,2
0000000052022092220230623,20230501,2
0000000052022092220230623,20230602,2
0000000052022092220230623,20230612,2
0000000052022092220230623,20230613,2
0000000052022092220230623,20230614,2
0000000052022092220230623,20230615,2
0000000052022092220230623,20230616,2
0000000052022092220230623,20230617,2
0000000052022092220230623,20230619,2
0000000052022092220230623,20230620,2
0000000052022092220230623,20230621,2
0000000052022092220230623,20230622,2
0000000052022092220230623,20230623,2
0000000062022091220230623,20221031,2
0000000062022091220230623,20221101,2
0000000062022091220230623,20221208,2
0000000062022091220230623,20221223,2
0000000062022091220230623,20221224,2
0000000062022091220230623,20221226,2
0000000062022091220230623,20221227,2
0000000062022091220230623,20221228,2
0000000062022091220230623,20221229,2
0000000062022091220230623,20221230,2
0000000062022091220230623,20221231,2
0000000062022091220230623,20230102,2
0000000062022091220230623,20230103,2
0000000062022091220230623,20230104,2
0000000062022091220230623,20230105,2
0000000062022091220230623,20230106,2
0000000062022091220230623,20230220,2
0000000062022091220230623,20230221,2
0000000062022091220230623,20230406,2
0000000062022091220230623,20230407,2
0000000062022091220230623,20230408,2
0000000062022091220230623,20230410,2
0000000062022091220230623,20230411,2
0000000062022091220230623,20230425,2
0000000062022091220230623,20230501,2
0000000062022091220230623,20230602,2
0000000062022091220230623,20230612,2
0000000062022091220230623,20230613,2
0000000062022091220230623,20230614,2
0000000062022091220230623,20230615,2
0000000062022091220230623,20230616,2
0000000062022091220230623,20230617,2
0000000062022091220230623,20230619,2
0000000062022091220230623,20230620,2
0000000062022091220230623,20230621,2
0000000062022091220230623,20230622,2
0000000062022091220230623,20230623,2
0000000062022091320230623,20221031,2
0000000062022091320230623,20221101,2
0000000062022091320230623,20221208,2
0000000062022091320230623,20221223,2
0000000062022091320230623,20221224,2
0000000062022091320230623,20221226,2
0000000062022091320230623,20221227,2
0000000062022091320230623,20221228,2
0000000062022091320230623,20221229,2
0000000062022091320230623,20221230,2
0000000062022091320230623,20221231,2
0000000062022091320230623,20230102,2
0000000062022091320230623,20230103,2
0000000062022091320230623,20230104,2
0000000062022091320230623,20230105,2
0000000062022091320230623,20230106,2
0000000062022091320230623,20230220,2
0000000062022091320230623,20230221,2
0000000062022091320230623,20230406,2
0000000062022091320230623,20230407,2
0000000062022091320230623,20230408,2
0000000062022091320230623,20230410,2
0000000062022091320230623,20230411,2
0000000062022091320230623,20230425,2
0000000062022091320230623,20230501,2
0000000062022091320230623,20230602,2
0000000062022091320230623,20230612,2
0000000062022091320230623,20230613,2
0000000062022091320230623,20230614,2
0000000062022091320230623,20230615,2
0000000062022091320230623,20230616,2
0000000062022091320230623,20230617,2
0000000062022091320230623,20230619,2
0000000062022091320230623,20230620,2
0000000062022091320230623,20230621,2
0000000062022091320230623,20230622,2
0000000062022091320230623,20230623,2
0000000062022091520230623,20221031,2
0000000062022091520230623,20221101,2
0000000062022091520230623,20221208,2
0000000062022091520230623,20221223,2
0000000062022091520230623,20221224,2
0000000062022091520230623,20221226,2
0000000062022091520230623,20221227,2
0000000062022091520230623,20221228,2
0000000062022091520230623,20221229,2
0000000062022091520230623,20221230,2
0000000062022091520230623,20221231,2
0000000062022091520230623,20230102,2
0000000062022091520230623,20230103,2
0000000062022091520230623,20230104,2
0000000062022091520230623,20230105,2
0000000062022091520230623,20230106,2
0000000062022091520230623,20230220,2
0000000062022091520230623,20230221,2
0000000062022091520230623,20230406,2
0000000062022091520230623,20230407,2
0000000062022091520230623,20230408,2
0000000062022091520230623,20230410,2
0000000062022091520230623,20230411,2
0000000062022091520230623,20230425,2
0000000062022091520230623,20230501,2
0000000062022091520230623,20230602,2
0000000062022091520230623,20230612,2
0000000062022091520230623,20230613,2
0000000062022091520230623,20230614,2
0000000062022091520230623,20230615,2
0000000062022091520230623,20230616,2
0000000062022091520230623,20230617,2
0000000062022091520230623,20230619,2
0000000062022091520230623,20230620,2
0000000062022091520230623,20230621,2
0000000062022091520230623,20230622,2
0000000062022091520230623,20230623,2
0000000062022091720230623,20221031,2
0000000062022091720230623,20221101,2
0000000062022091720230623,20221208,2
0000000062022091720230623,20221223,2
0000000062022091720230623,20221224,2
0000000062022091720230623,20221226,2
0000000062022091720230623,20221227,2
0000000062022091720230623,20221228,2
0000000062022091720230623,20221229,2
0000000062022091720230623,20221230,2
0000000062022091720230623,20221231,2
0000000062022091720230623,20230102,2
0000000062022091720230623,20230103,2
0000000062022091720230623,20230104,2
0000000062022091720230623,20230105,2
0000000062022091720230623,20230106,2
0000000062022091720230623,20230220,2
0000000062022091720230623,20230221,2
0000000062022091720230623,20230406,2
0000000062022091720230623,20230407,2
0000000062022091720230623,20230408,2
0000000062022091720230623,20230410,2
0000000062022091720230623,20230411,2
0000000062022091720230623,20230425,2
0000000062022091720230623,20230501,2
0000000062022091720230623,20230602,2
0000000062022091720230623,20230612,2
0000000062022091720230623,20230613,2
0000000062022091720230623,20230614,2
0000000062022091720230623,20230615,2
0000000062022091720230623,20230616,2
0000000062022091720230623,20230617,2
0000000062022091720230623,20230619,2
0000000062022091720230623,20230620,2
0000000062022091720230623,20230621,2
0000000062022091720230623,20230622,2
0000000062022091720230623,20230623,2
0000000062022092120230623,20221031,2
0000000062022092120230623,20221101,2
0000000062022092120230623,20221208,2
0000000062022092120230623,20221223,2
0000000062022092120230623,20221224,2
0000000062022092120230623,20221226,2
0000000062022092120230623,20221227,2
0000000062022092120230623,20221228,2
0000000062022092120230623,20221229,2
0000000062022092120230623,20221230,2
0000000062022092120230623,20221231,2
0000000062022092120230623,20230102,2
0000000062022092120230623,20230103,2
0000000062022092120230623,20230104,2
0000000062022092120230623,20230105,2
0000000062022092120230623,20230106,2
0000000062022092120230623,20230220,2
0000000062022092120230623,20230221,2
0000000062022092120230623,20230406,2
0000000062022092120230623,20230407,2
0000000062022092120230623,20230408,2
0000000062022092120230623,20230410,2
0000000062022092120230623,20230411,2
0000000062022092120230623,20230425,2
0000000062022092120230623,20230501,2
0000000062022092120230623,20230602,2
0000000062022092120230623,20230612,2
0000000062022092120230623,20230613,2
0000000062022092120230623,20230614,2
0000000062022092120230623,20230615,2
0000000062022092120230623,20230616,2
0000000062022092120230623,20230617,2
0000000062022092120230623,20230619,2
0000000062022092120230623,20230620,2
0000000062022092120230623,20230621,2
0000000062022092120230623,20230622,2
0000000062022092120230623,20230623,2
0000000062022092620230623,20221031,2
0000000062022092620230623,20221101,2
0000000062022092620230623,20221208,2
0000000062022092620230623,20221223,2
0000000062022092620230623,20221224,2
0000000062022092620230623,20221226,2
0000000062022092620230623,20221227,2
0000000062022092620230623,20221228,2
0000000062022092620230623,20221229,2
0000000062022092620230623,20221230,2
0000000062022092620230623,20221231,2
0000000062022092620230623,20230102,2
0000000062022092620230623,20230103,2
0000000062022092620230623,20230104,2
0000000062022092620230623,20230105,2
0000000062022092620230623,20230106,2
0000000062022092620230623,20230220,2
0000000062022092620230623,20230221,2
0000000062022092620230623,20230406,2
0000000062022092620230623,20230407,2
0000000062022092620230623,20230408,2
0000000062022092620230623,20230410,2
0000000062022092620230623,20230411,2
0000000062022092620230623,20230425,2
0000000062022092620230623,20230501,2
0000000062022092620230623,20230602,2
0000000062022092620230623,20230612,2
0000000062022092620230623,20230613,2
0000000062022092620230623,20230614,2
0000000062022092620230623,20230615,2
0000000062022092620230623,20230616,2
0000000062022092620230623,20230617,2
0000000062022092620230623,20230619,2
0000000062022092620230623,20230620,2
0000000062022092620230623,20230621,2
0000000062022092620230623,20230622,2
0000000062022092620230623,20230623,2
0000000072022091220230623,20221101,1
0000000072022091220230623,20221208,1
0000000072022091220230623,20221226,1
0000000072022091220230623,20230410,1
0000000072022091220230623,20230425,1
0000000072022091220230623,20230501,1
0000000072022091220230623,20230602,1
0000000072022092120230623,20221101,1
0000000072022092120230623,20221208,1
0000000072022092120230623,20221226,1
0000000072022092120230623,20230410,1
0000000072022092120230623,20230425,1
0000000072022092120230623,20230501,1
0000000072022092120230623,20230602,1
0000000072022122420230319,20221226,1
0000000072022122620230319,20221226,1
0000000092022091220230623,20220923,2
0000000092022091220230623,20220924,2
0000000092022091220230623,20220926,2
0000000092022091220230623,20220927,2
0000000092022091220230623,20220928,2
0000000092022091220230623,20220929,2
0000000092022091220230623,20220930,2
0000000092022091220230623,20221001,2
0000000092022091220230623,20221003,2
0000000092022091220230623,20221004,2
0000000092022091220230623,20221005,2
0000000092022091220230623,20221006,2
0000000092022091220230623,20221007,2
0000000092022091220230623,20221008,2
0000000092022091220230623,20221010,2
0000000092022091220230623,20221011,2
0000000092022091220230623,20221012,2
0000000092022091220230623,20221013,2
0000000092022091220230623,20221014,2
0000000092022091220230623,20221015,2
0000000092022091220230623,20221017,2
0000000092022091220230623,20221018,2
0000000092022091220230623,20221019,2
0000000092022091220230623,20221020,2
0000000092022091220230623,20221021,2
0000000092022091220230623,20221022,2
0000000092022091220230623,20221024,2
0000000092022091220230623,20221025,2
0000000092022091220230623,20221026,2
0000000092022091220230623,20221027,2
0000000092022091220230623,20221028,2
0000000092022091220230623,20221029,2
0000000092022091220230623,20221030,2
0000000092022091220230623,20221031,1
0000000092022091220230623,20221101,2
0000000092022091220230623,20221102,2
0000000092022091220230623,20221103,2
0000000092022091220230623,20221104,2
0000000092022091220230623,20221105,2
0000000092022091220230623,20221107,2
0000000092022091220230623,20221108,2
0000000092022091220230623,20221109,2
0000000092022091220230623,20221110,2
0000000092022091220230623,20221111,2
0000000092022091220230623,20221112,2
0000000092022091220230623,20221114,2
