stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,wheelchair_boarding
1421,31791x,Viale Vittoria Fucine,,45.886286,11.029022,10101,1
1422,32221z,Ss.12 "Rovercenter",,45.864490,11.029336,10101,2
1424,38031x,Villa Lagarina Via Alpini,,45.914559,11.034085,18041,2
1425,38031z,Villa Lagarina Via Alpini,,45.914750,11.033817,18041,2
1426,38061x,Villa Lagarina Via Solari,,45.917108,11.028804,18041,1
1427,38061z,Villa Lagarina Via Solari,,45.917136,11.028753,18041,2
1429,38071z,Villa Lagarina V. Zandonai,,45.912508,11.031746,18041,2
1431,31331-,Via Craffonara,,45.886658,11.034354,10101,
1432,31521z,Via Monte Corno,,45.893136,11.037611,10121,
1433,31541z,Via Parteli,,45.896472,11.036766,10121,
1434,31551z,Via Pasqui,,45.899597,11.037396,10121,
1437,32351z,Viale Caproni "Sony",,45.865476,11.010391,10101,2
1440,32371x,Viale Dell'industria,,45.871736,11.020684,10101,
1442,32361x,Viale Del Lavoro "Aticarta",,45.866718,11.023452,10101,2
1443,32261x,Viale Del Lavoro "Rovercenter",,45.863613,11.027011,10101,2
1444,31631x,Via S.Maria,,45.884661,11.042933,10121,
1445,30181-,Via Sighele Stazione Fs,,45.891265,11.035480,10101,1
1446,31741x,Via Zotti Via Cevedale,,45.885722,11.025831,10121,1
1447,31731x,Via Zotti,,45.886239,11.021003,10101,
1504,32311x,Via Fornaci "Texbond",,45.860058,11.005382,10101,2
1685,31471-,Via Macello,,45.894308,11.032787,10101,
2120,21805o,Zambra "Top Center",,46.091075,11.117771,10110,1
2189,20130c,Piazza Dante "Dogana",,46.072593,11.119946,10110,1
2213,32511z,Bivio Per Senter,,45.881212,11.077471,10101,
2214,32511x,Bivio Per Senter,,45.881441,11.077606,10101,
2215,35011z,Brancolino,,45.902185,11.020151,15091,2
2216,35011x,Brancolino,,45.902219,11.020268,15091,2
2217,35021x,Brancolino Sp.90,,45.900719,11.020252,15091,1
2218,35021z,Brancolino Sp.90,,45.900853,11.020409,15091,1
2219,32531z,Casa Del Falegname,,45.885721,11.076342,10101,
2220,32531x,Casa Del Falegname,,45.885630,11.076355,10101,
2221,32541z,Casa Nel Bosco,,45.882386,11.076316,10101,
2222,32541x,Casa Nel Bosco,,45.882347,11.076347,10101,
2223,18511,Castellano Centro,,45.923357,11.007700,18511,2
2224,32551z,Cisterna,,45.883094,11.086348,10101,2
2225,32551x,Cisterna,,45.883158,11.086397,10101,2
2226,33011x,Cornale',,45.881541,11.010791,13041,2
2227,33011z,Cornale',,45.881500,11.010728,13041,2
2229,33021x,Folaso,,45.887066,11.001260,13041,2
2230,33021z,Folaso,,45.887214,11.001312,13041,2
2231,33051z,Isera Via Rosina,,45.887566,11.010586,13041,2
2232,33051x,Isera Via Rosina,,45.887771,11.010709,13041,2
2233,33031z,Isera Cimitero,,45.888588,11.011860,13041,2
2234,33031x,Isera Cimitero,,45.888491,11.011702,13041,2
2237,33061c,Lenzima,,45.878491,10.992325,13041,
2238,33071x,Marano,,45.895859,11.015487,13041,2
2239,33071z,Marano,,45.895743,11.015470,13041,2
2240,32571z,Maso Mortal,,45.882809,11.079505,10101,2
2241,32571x,Maso Mortal,,45.882917,11.079468,10101,2
2242,32591c,Moietto,,45.894865,11.086015,10101,
2243,34011z,Molina,,45.855439,10.986615,14051,2
2244,34011x,Molina,,45.855393,10.986690,14051,2
2245,34021z,Mori Bar Centrale,,45.851666,10.978852,14051,2
2246,34031x,Mori Piazza Cal di Ponte,,45.851720,10.977891,14051,2
2247,34071x,Mori Via Garibaldi,,45.853043,10.975310,14051,1
2248,34041x,Mori Piazzale Kennedy,,45.851716,10.979140,14051,1
2249,14051,Mori Via Don Sturzo,,45.853419,10.970184,14051,1
2250,34061x,Mori Via Filzi,,45.854286,10.972108,14051,1
2253,35041x,Noarna,,45.911090,11.012495,15091,2
2254,35041z,Noarna,,45.910988,11.012478,15091,2
2255,35081z,Nogaredo Municipio,,45.912062,11.023050,15091,2
2256,15091,Nogaredo Municipio,,45.911989,11.023086,15091,2
2257,35131z,Nogaredo Vignai,,45.910710,11.019921,15091,2
2258,35111x,Nogaredo Via Dei Colli,,45.911742,11.021479,15091,2
2259,35101z,Nogaredo Scuole Elementari,,45.909317,11.022388,15091,2
2260,35101x,Nogaredo Scuole Elementari,,45.909324,11.022320,15091,2
2261,38051z,Villa Lagarina Via Marconi,,45.915659,11.027759,15091,2
2262,38051x,Villa Lagarina Via Marconi,,45.914818,11.027748,15091,2
2265,32601z,Noriglio Cassa Rurale,,45.883717,11.069232,10101,2
2266,32611x,Noriglio Mon. Ai Caduti,,45.883665,11.070375,10101,2
2267,33081c,Patone,,45.902767,11.000421,13041,
