WKT;id;impianto;ubicazione;comcat;gestione;disciplina;strutture;tipologia;management;discipline;facilities;typology;dettagli;fumetto
"POINT (666317.52531893691048 5102560.632389043457806)";41;CAMPO SPORTIVO POVO GABBIOLO;"VIA CASTEL DI PIETRA PIANA, 21";POVO;A.S.I.S.;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;A.S.I.S.;"FOOTBALL, 5X5 SOCCER";FOOTBALL FIELD;SPORTS FIELD;;"CAMPO SPORTIVO POVO GABBIOLO;-CALCIO, CALCIO A 5"
"POINT (664875.011982225812972 5096978.617770883254707)";34;CENTRO SPORTIVO MATTARELLO;VIA DEL CASTEL;MATTARELLO;A.S.I.S.;"PALLAVOLO,PALLACANESTRO, PESI, ATTIVITA' MOTORIA, ARRAMPICATA SPORTIVA, NUOTO";"PALESTRA, PISCINA, PARETE ARRAMPICATA, SALA GINNICA, SALA PESI";PALESTRA;A.S.I.S.;"VOLLEYBALL, BASKETBALL, WEIGHTLIFTING, GYMNASTICS, ARTISTIC GYMNASTICS, CLIMBING, SWIMMING, GYMNASTICS IN WATER";"MULTI-PURPOSE HALL, GYMNASIUM, SWIMMING POOL, CLIMBING WALL, WEIGTH ROOM";SPORTS GYM;;"CENTRO SPORTIVO MATTARELLO;-PALLAVOLO, BASKET, PESI, GINNASTICA MOTORIA, GINNASTICA ARTISTICA, ARRAMPICATA SPORTIVA, NUOTO, GINNASTICA MOTORIA IN ACQUA"
"POINT (665124.108999932999723 5100693.133979382924736)";51;PALESTRA DELLA SCUOLA ELEMENTARE MADONNA BIANCA;"VIA BETTINI, 7";TRENTO;A.S.I.S.;"PALLAVOLO, CALCIO A 5, GINNASTICA SPORTIVA";PALESTRA;PALESTRA;A.S.I.S.;"VOLLEYBALL, 5X5 SOCCER, ARTISTIC GYMNASTICS";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE MADONNA BIANCA;-PALLAVOLO, CALCIO A 5, GINNASTICA ARTISTICA"
"POINT (665020.653503742301837 5101811.464445201680064)";52;PALESTRA DELLA SCUOLA MEDIA VITTORIA;"VIALE DEGLI OLMI, 26";TRENTO;A.S.I.S.;ATTIVITA' LUDICO MOTORIE;PALESTRA;PALESTRA;A.S.I.S.;"MARTIAL ARTS, TORBALL, VOLLEYBALL, GYMNASTICS";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA MEDIA VITTORIA;-ARTI MARZIALI, TORBALL, PALLAVOLO, GINNASTICA MOTORIA"
"POINT (665015.128437078325078 5101717.551244266331196)";53;PALESTRA DELLA SCUOLA MEDIA WINKLER;"VIALE DEGLI OLMI, 22";TRENTO;A.S.I.S.;"PALLAVOLO, CALCIO A 5, PALLAMANO";PALESTRA;PALESTRA;A.S.I.S.;"VOLLEYBALL, 5X5 SOCCER";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA MEDIA DANTE ALIGHIERI;-PALLAVOLO, CALCIO A 5"
"POINT (664537.160565486643463 5102011.431676940992475)";54;PALESTRA DELLA SCUOLA ELEMENTARE CLARINA;"VIA EINAUDI, 13";TRENTO;A.S.I.S.;"GINNASTICA SPORTIVA, PALLAVOLO, PALLACANESTRO";PALESTRA;PALESTRA;A.S.I.S.;"ARTISTIC GYMNASTICS, VOLLEYBALL, BASKETBALL";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE CLARINA;-GINNASTICA ARTISTICA, PALLAVOLO, BASKET"
"POINT (664097.509066903381608 5102184.719287375919521)";55;PALESTRA DELLA SCUOLA ELEMENTARE SAVIO;"VIA S. PIO X, 103";TRENTO;A.S.I.S.;ATTIVITA' LUDICO MOTORIE;PALESTRA;PALESTRA;A.S.I.S.;"TABLE TENNIS, DANCE, MINIBASKET";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE SAVIO;-TENNIS TAVOLO, DANZA, MINIBASKET"
"POINT (664315.453097279882059 5102799.325129377655685)";56;PALESTRA DELLA SCUOLA MEDIA BRONZETTI SEGANTINI;"VIA VENETO, 61";TRENTO;A.S.I.S.;"PALLAVOLO, PALLACANESTRO";PALESTRA;PALESTRA;A.S.I.S.;"VOLLEYBALL, MINIVOLLEY, BASKETBALL";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA MEDIA BRONZETTI SEGANTINI;-PALLAVOLO, MINIVOLLEY, BASKET"
"POINT (663756.095519205671735 5104309.66291896160692)";62;PALESTRA DELLA SCUOLA MEDIA MANZONI;"CORSO BUONARROTTI, 50";TRENTO;A.S.I.S.;"PALLAVOLO, ARTI MARZIALI, CALCIO A 5, PALLAMANO";PALESTRA;PALESTRA;A.S.I.S.;"ARCHERY, VOLLEYBALL, MARTIAL ARTS, 5X5 SOCCER";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA MEDIA MANZONI;-TIRO CON L'ARCO, PALLAVOLO, ARTI MARZIALI, CALCIO A 5"
"POINT (665761.2777954764897 5104581.05722623784095)";63;PALESTRA DELLA SCUOLA MEDIA ARGENTARIO;"VIA PONTE ALTO, 2/1";COGNOLA;A.S.I.S.;"PALLAVOLO, PALLACANESTRO, ARTI MARZIALI";"PALESTRA, SALA GINNICA";PALESTRA;A.S.I.S.;"VOLLEYBALL, ARTISTIC GYMNASTICS, GYMNASTICS, MARTIAL ARTS";"MAIN GYMNASIUM, GYM";SPORTS GYM;;"PALESTRA DELLA SCUOLA MEDIA ARGENTARIO;-PALLAVOLO, GINNASTICA ARTISTICA, GINNASTICA MOTORIA, ARTI MARZIALI"
"POINT (665744.185813597636297 5104649.938198928721249)";64;PALESTRA DELLA SCUOLA ELEMENTARE BERNARDI;"VIA PONTE ALTO, 1";COGNOLA;A.S.I.S.;"PALLAVOLO, PALLACANESTRO";PALESTRA;PALESTRA;A.S.I.S.;"DANCE, VOLLEYBALL, ARTISTIC GYMNASTICS, MINIBASKET, MARTIAL ARTS, BASKETBALL";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE BERNARDI;-DANZA, PALLAVOLO, GINNASTICA ARTISTICA, MINIBASKET, ARTI MARZIALI, BASKET"
"POINT (662951.800946809118614 5098341.113065415993333)";71;PALESTRA DELLA SCUOLA ELEMENTARE ROMAGNANO;"VIA AI COMUNI, 6";ROMAGNANO;A.S.I.S.;ATTIVITA' LUDICO MOTORIE;PALESTRA;PALESTRA;A.S.I.S.;"DANCE, ARTISTIC GYMNASTICS, GYMNASTICS, VOLLEYBALL";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE ROMAGNANO;-DANZA, GINNASTICA ARTISTICA, GINNASTICA MOTORIA, PALLAVOLO"
"POINT (664957.991490956279449 5111128.570032948628068)";72;PALESTRA DELLA SCUOLA ELEMENTARE VIGO MEANO;"VIA DELLE OSELERE, 21";MEANO;A.S.I.S.;"PALLAVOLO, PALLACANESTRO";PALESTRA;PALESTRA;A.S.I.S.;"ARTISTIC GYMNASTICS, GYMNASTICS, VOLLEYBALL, BASKETBALL";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE VIGO MEANO;-GINNASTICA ARTISTICA, GINNASTICA MOTORIA, PALLAVOLO, BASKET"
"POINT (663893.23506162117701 5106035.408387155272067)";76;PALESTRA SCUOLE ELEMENTARE SOLTERI;"VIA SOLTERI, 22";TRENTO;A.S.I.S.;"PALLAVOLO, PALLACANESTRO";PALESTRA;PALESTRA;A.S.I.S.;"VOLLEYBALL, BASKETBALL";GYMNASIUM;SPORTS GYM;;"PALESTRA SCUOLE ELEMENTARE SOLTERI;-PALLAVOLO, BASKET"
"POINT (663936.768495628959499 5102377.478763326071203)";78;PALESTRA DELLA SCUOLA ELEMENTARE DE GASPARI;"VIA ZANDONI, 4";TRENTO;A.S.I.S.;ATTIVITA' LUDICO MOTORIE;PALESTRA;PALESTRA;A.S.I.S.;"DANCE, ARTISTIC GYMNASTICS, GYMNASTICS, MARTIAL ARTS";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE DE GASPARI;-DANZA, GINNASTCA ARTISTICA, GINNASTICA MOTORIA, ARTI MARRZIALI"
"POINT (663332.185473796213046 5100343.631312658078969)";77;PALESTRA NAVARINI;"VIA FILARI LONGHI, 4D";RAVINA;A.S.I.S.;"CALCIO A 5, PALLAVOLO, PALLACANESTRO, ATTIVITA' MOTORIA";"PALESTRA, SALA GINNICA";PALESTRA;A.S.I.S.;"5X5 SOCCER, BASKETBALL, MARTIAL ARTS, GYMNASTICS, ARTISTIC GYMNASTICS";"MAIN GYMNASIUM, GYM";SPORTS GYM;;"PALESTRA NAVARINI;-CALCIO A 5, BASKET, ARTI MARZIALI, GINNASTICA MOTORIA, GINNASTICA ARTISTICA"
"POINT (663489.441532380529679 5110266.117138926871121)";79;CENTRO CIVICO DI MEANO;"VIA DELLE SUGARINE, 26";MEANO;A.S.I.S.;"CALCIO A 5, PALLAVOLO, PALLACANESTRO, PALLAMANO";PALESTRA;PALESTRA;A.S.I.S.;"BASKETBALL, VOLLEYBALL, 5X5 SOCCER";GYMNASIUM;SPORTS GYM;;"CENTRO CIVICO DI MEANO;-BASKET, PALLAVOLO,CALCIO A 5"
"POINT (663145.582661527907476 5107929.722944627515972)";82;PISCINA DELLA SCUOLA ELEMENTARE PIGARELLI;"VIA 4 NOVEMBRE, 42/1";GARDOLO;A.S.I.S.;ATTIVITA' LUDICO MOTORIE;PISCINA;PISCINA;A.S.I.S.;"SWIMMING, GYMNASTICS IN WATER";SWIMMING POOL;SWIMMING POOL;;"PISCINA DELLA SCUOLA ELEMENTARE PIGARELLI;-NUOTO, GINNASTICA MOTORIA IN ACQUA"
