WKT;id;impianto;ubicazione;comcat;gestione;disciplina;strutture;tipologia;management;discipline;facilities;typology;dettagli;fumetto
"POINT (662264.527247741236351 5103318.567993136122823)";17;CAMPO DA CALCIO SARDAGNA;VIA ALLA CESA VECIA;SARDAGNA;ASSOCIAZIONI SPORTIVE;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;SPORTS CLUB;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;17;"CAMPO DA CALCIO SARDAGNA;-CALCIO"
"POINT (663820.560032220557332 5105192.097214129753411)";35;CAMPO SPORTIVO CRISTO RE;"VIA LAVISOTTO, 41";TRENTO;A.S.I.S.;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;A.S.I.S.;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;;"CAMPO SPORTIVO CRISTO RE;-CALCIO"
"POINT (663775.348837649566121 5110544.933569774031639)";40;CAMPO SPORTIVO MEANO;"VIA BELLARIA, 9";MEANO;A.S.I.S.;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;A.S.I.S.;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;;"CAMPO SPORTIVO MEANO;-CALCIO"
"POINT (658119.375918342382647 5098357.404742696322501)";27;CENTRO FONDO ALLE VIOTE;"LOC.VIOTTE, 4";SOPRAMONTE;A.S.I.S.;FONDO;PISTE SCI;CENTRO SCI DA FONDO;A.S.I.S.;CROSS-COUNTRY SKIING;CROSS COUNTRY SKI TRACK;CROSS COUNTRY SKIING CENTRE;;"CENTRO FONDO ALLE VIOTE;-FONDO"
"POINT (665086.035669076722115 5102017.902817267924547)";37;CAMPO SPORTIVO S. BARTOLOMEO;"VIALE DEGLI OLMI, 44";TRENTO;A.S.I.S.;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;A.S.I.S.;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;;"CAMPO SPORTIVO S. BARTOLOMEO;-CALCIO"
"POINT (662969.983457617228851 5104700.089190970174968)";36;CAMPO SPORTIVO PIEDICASTELLO;"VIA SS. COSMA E DAMIANO, 107";TRENTO;A.S.I.S.;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;A.S.I.S.;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;;"CAMPO SPORTIVO PIEDICASTELLO;-CALCIO"
"POINT (658808.312898287549615 5103920.821033872663975)";43;CAMPO SPORTIVO SOPRAMONTE;VIA S. ANNA;SOPRAMONTE;A.S.I.S.;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;A.S.I.S.;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;;"CAMPO SPORTIVO SOPRAMONTE;-CALCIO"
"POINT (664836.81007678003516 5097132.994960335083306)";39;CAMPO SPORTIVO MATTARELLO;"PIAZZALE ERGOLDING, 1";MATTARELLO;A.S.I.S.;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;A.S.I.S.;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;;"CAMPO SPORTIVO MATTARELLO;-CALCIO"
"POINT (664372.6648459516 5103323.101402080617845)";33;PALESTRA F.LLI BOCCHI;"S. CROCE, 67";TRENTO;A.S.I.S.;"PALLAVOLO, BASKET, PESI";"PALESTRA, SALA PESI";PALESTRA;A.S.I.S.;"VOLLEYBALL, BASKETBALL, WEIGHTLIFTING";"MULTI-PURPOSE HALL, WEIGTH ROOM";SPORTS GYM;;"PALESTRA F.LLI BOCCHI;-PALLAVOLO, BASKET, PESI"
"POINT (663172.558929341379553 5100317.376221496611834)";42;CAMPO SPORTIVO RAVINA;"VIA FILARI LUNGHI, 2";RAVINA;A.S.I.S.;CALCIO;CAMPO CALCIO;CAMPO SPORTIVO;A.S.I.S.;FOOTBALL;FOOTBALL FIELD;SPORTS FIELD;;"CAMPO SPORTIVO RAVINA;-CALCIO"
"POINT (663399.280684491735883 5107908.712714700959623)";25;CENTRO SPORTIVO TRENTO NORD;"VIA IV NOVEMBRE, 23/4";GARDOLO;A.S.I.S.;"CALCIO A 5, NUOTO, SUB, PALLANUOTO,  PALLAVOLO, BASKET, GINNASTICA ARTISTICA, GINNASTICA MOTORIA, ARTI MARZIALI, SCHERMA, BEACH VOLLEY";"PISCINA, PALAZZETTO, PALESTRA";CENTRO SPORTIVO;A.S.I.S.;"SWIMMING, GYMNASTICS IN WATER, VOLLEYBALL, BASKETBALL, ARTISTIC GYMNASTICS, GYMNASTICS, MARTIAL ARTS,  5X5 SOCCER, SHOOTING";"SWIMMING POOL, MULTI-PURPOSE MAIN HALL, GYMNASIUM, MULTI-PURPOSE FIELD, SHOOTING RANGE";SPORTS CENTRE;;"CENTRO SPORTIVO TRENTO NORD;-TIRO A SEGNO, CALCIO A CINQUE, NUOTO, SUB, PALLAVOLO, BASKET, GINNASTICA ARTISTICA, GINNASTICA MOTORIA, ARTI MARZIALI"
"POINT (665161.804462026339024 5100783.491380410268903)";29;PISCINA MADONNA BIANCA;"VIA BETTINI, 7";TRENTO;A.S.I.S.;"NUOTO, PALLANUOTO, ARTI MARZIALI, DANZA SPORTIVA, TENNIS TAVOLO, TIRO CON L'ARCO, TORBALL, ATTIVITA' MOTORIA";"PISCINA, PALESTRA";PISCINA;A.S.I.S.;"SWIMMING, GYMNASTICS";"SWIMMING POOL,  GYMNASIUM";SWIMMING POOL;;"PISCINA MADONNA BIANCA;-NUOTO, GINNASTICA"
"POINT (662994.209166365908459 5104620.921198917552829)";32;CENTRO SPORTIVO PIEDICASTELLO-VELA;"VIA DOSS TRENTO, 23";TRENTO;A.S.I.S.;"BOCCE, PALLAVOLO, CALCIO A 5, TENNIS TAVOLO, PALLACANESTRO";"PALESTRA, BOCCIODROMO, SALA TENNIS TAVOLO";CENTRO SPORTIVO;A.S.I.S.;"BOWLS, VOLLEYBALL, 5X5 SOCCER, TABLE TENNIS";"MULTI-PURPOSE HALL, BOWLING RINK, TABLE-TENNIS HALL";SPORTS CENTRE;;"CENTRO SPORTIVO PIEDICASTELLO-VELA;-BOCCE, PALLAVOLO, CALCIO A 5, TENNIS TAVOLO"
"POINT (664098.533138306695037 5103496.778205153532326)";57;PALESTRA DELLA SCUOLA MEDIA BRESADOLA;"VIA DEL TORRIONE, 2";TRENTO;A.S.I.S.;PALLAVOLO;PALESTRA;PALESTRA;A.S.I.S.;VOLLEYBALL;GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA MEDIA BRESADOLA;-PALLAVOLO"
"POINT (664109.110496430424973 5102804.150787972845137)";58;PALESTRA DELLA SCUOLA ELEMENTARE CRISPI;"VIA VITTORIO VENETO, 43";TRENTO;A.S.I.S.;ATTIVITA' LUDICO MOTORIE;PALESTRA;PALESTRA;A.S.I.S.;"MARTIAL ARTS, DANCE, GYMNASTICS, ARTISTIC GYMNASTICS";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE CRISPI;-ARTI MARZIALI, DANZA, GINNASTICA MOTORIA, GINNASTICA ARTISTICA"
"POINT (664384.898319402709603 5104294.688903762027621)";59;PALESTRA DELLA SCUOLA ELEMENTARE SANZIO;"PIAZZA SANZIO, 13";TRENTO;A.S.I.S.;ATTIVITA' LUDICO MOTORIE;PALESTRA;PALESTRA;A.S.I.S.;"DANCE, VOLLEYBALL, ARTISTIC GYMNASTICS, MINIBASKET";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE SANZIO;-DANZA, PALLAVOLO, GINNASTICA ARTISTICA, MINIBASKET"
"POINT (663730.574097079224885 5105364.902204128913581)";61;PALESTRA DELLA SCUOLA ELEMENTARE CRISTO RE;"VIA LAVISOTTO, 79";TRENTO;A.S.I.S.;ATTIVITA' LUDICO MOTORIE;PALESTRA;PALESTRA;A.S.I.S.;"VOLLEYBALL, ARTISTIC GYMNASTICS, MINIBASKET";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE CRISTO RE;-PALLAVOLO, GINNASTICA ARTISTICA, MINIBASKET"
"POINT (663984.713416162878275 5104824.610113484784961)";60;PALESTRA DELLA SCUOLA ELEMENTARE BELLESINI;"VIA STOPPANI, 3";TRENTO;A.S.I.S.;ATTIVITA' LUDICO MOTORIE;PALESTRA;PALESTRA;A.S.I.S.;"VOLLEYBALL, DANCE, MINIVOLLEY";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE BELLESINI;-PALLAVOLO, DANZA, MINIVOLLEY"
"POINT (663694.13354626763612 5105401.043193777091801)";83;PISCINA DELLA SCUOLA ELEMENTARE CRISTO RE;"VIA LAVISOTTO, 79";TRENTO;A.S.I.S.;"NUOTO, GINNASTICA MOTORIA IN ACQUA";PISCINA;PISCINA;A.S.I.S.;"SWIMMING, GYMNASTICS IN WATER";SWIMMING POOL;SWIMMING POOL;;"PISCINA DELLA ACUOLA ELEMENTARE CRISTO RE;-NUOTO, GINNASTICA MOTORIA IN ACQUA"
"POINT (665454.474834823980927 5104495.766005365177989)";65;PALESTRA DELLA SCUOLA ELEMENTARE SAN VITO;"VIA SAN VITO, 169";COGNOLA;A.S.I.S.;ATTIVITA' LUDICO MOTORIE;PALESTRA;PALESTRA;A.S.I.S.;"MARTIAL ARTS, GYMNASTICS, MINIVOLLEY, VOLLEYBALL";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE SAN VITO;-ARTI MARZIALI, GINNICA MOTORIA, MINIVOLLEY, PALLAVOLO"
"POINT (663164.404627271578647 5107893.447064257226884)";67;PALESTRA DELLA SCUOLA ELEMENTARE PIGARELLI;"VIA 4 NOVEMBRE, 42/1";GARDOLO;A.S.I.S.;PALLACANESTRO;PALESTRA;PALESTRA;A.S.I.S.;BASKETBALL;GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE PIGARELLI;-BASKET"
"POINT (663358.405945453327149 5107771.202447541058064)";68;PALESTRA DELLA SCUOLA PEDROLLI;"VIA 4 NOVEMBRE, 35/1";GARDOLO;A.S.I.S.;"PALLAVOLO, PALLACANESTRO";PALESTRA;PALESTRA;A.S.I.S.;"ARTISTIC GYMNASTICS, VOLLEYBALL, BASKETBALL";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA PEDROLLI;-GINNASTICA ARTISTICA, PALLAVOLO, BASKET"
"POINT (663053.940285655902699 5108358.862933553755283)";66;PALESTRA DELLA SCUOLA ELEMENTARE SANT'ANNA;"VIA SANT'ANNA, 59";GARDOLO;A.S.I.S.;ATTIVITA' LUDICO MOTORIE;PALESTRA;PALESTRA;A.S.I.S.;"VOLLEYBALL, BASKETBALL";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE SANT'ANNA;-PALLAVOLO, BASKET"
"POINT (664797.449206226854585 5106302.743608965538442)";69;PALESTRA DELLA SCUOLA ELEMENTARE ZANDONAI;"PIAZZA MENGHIN, 1";MARTIGNANO;A.S.I.S.;"PALLAVOLO,PALLACANESTRO";PALESTRA;PALESTRA;A.S.I.S.;"VOLLEYBALL, BASKETBALL";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE ZANDONAI;-PALLAVOLO, BASKET"
"POINT (666387.827891095075756 5102174.245770623907447)";73;PALESTRA DELLA SCUOLA MEDIA PASCOLI;"VIA ZNOJMO, 24";POVO;A.S.I.S.;"PALLAVOLO, PALLACANESTRO, ARTI MARZIALI";"PALESTRA, SALA JUDO";PALESTRA;A.S.I.S.;"VOLLEYBALL, BASKETBALL, MARTIAL ARTS";"GYMNASIUM, JUDO COURT";SPORTS GYM;;"PALESTRA DELLA SCUOLA MEDIA PASCOLI;-PALLAVOLO, BASKET, ARTI MARZIALI"
"POINT (666567.844621061813086 5103433.765511906705797)";75;PALESTRA DELLA SCUOLA ELEMENTARE POVO;"VIA DELLA CROS, 10";POVO;A.S.I.S.;"PALLAVOLO, PALLACANESTRO";PALESTRA;PALESTRA;A.S.I.S.;"VOLLEYBALL, BASKETBALL";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE POVO;-PALLAVOLO, BASKET"
"POINT (666068.558252555900253 5101686.810858364216983)";74;PALESTRA DELLA SCUOLA ELEMENTARE VILLAZZANO;"PIAZZA MONS. NICOLINI, 7";VILLAZZANO;A.S.I.S.;ATTIVITA' LUDICO MOTORIE;PALESTRA;PALESTRA;A.S.I.S.;"GYMNASTICS, VOLLEYBALL, BASKETBALL";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA ELEMENTARE VILLAZZANO;-GINNASTICA MOTORIA, PALLAVOLO, BASKET"
"POINT (664968.960874943295494 5097018.031081289052963)";70;PALESTRA DELLA SCUOLA MEDIA FOGAZZARO;"VIA DELLA TORRE FRANCA, 1";MATTARELLO;A.S.I.S.;ATTIVITA' LUDICO MOTORIE;PALESTRA;PALESTRA;A.S.I.S.;"ARCHERY, VOLLEY, GYMNASTICS";GYMNASIUM;SPORTS GYM;;"PALESTRA DELLA SCUOLA MEDIA FOGAZZARO;-TIRO CON L'ARCO, PALLAVOLO, GINNASTICA MOTORIA"
"POINT (665486.61571638006717 5100772.445823537185788)";80;PALESTRA DELLE EX SCUOLE PASI;VIE E. CONCI;TRENTO;A.S.I.S.;PALLAVOLO;PALESTRA;PALESTRA;A.S.I.S.;VOLLEYBALL;GYMNASIUM;SPORTS GYM;;"PALESTRA DELLE EX SCUOLE PASI;-PALLAVOLO"
"POINT (664566.884006119216792 5102012.342726006172597)";81;PISCINA DELLA SCUOLA ELEMENTARE CLARINA;"VIA EINAUDI, 13";TRENTO;A.S.I.S.;"NUOTO, GINNASTICA MOTORIA IN ACQUA";PISCINA;PISCINA;A.S.I.S.;"SWIMMING, GYMNASTICS IN WATER";SWIMMING POOL;SWIMMING POOL;;"PISCINA DELLA SCUOLA ELEMENTARE CLARINA;-NUOTO, GINNASTICA MOTORIA IN ACQUA"
